filepath,class_name,class_id,x_center,y_center,width,height
data/raw/train/images/00001_jpg.rf.17407de56e41af38bf7ed2948877f94b.jpg,TEAM 2,6,0.76953125,0.41640625,0.0125,0.06015625
data/raw/train/images/00001_jpg.rf.17407de56e41af38bf7ed2948877f94b.jpg,TEAM 2,6,0.75078125,0.36171875,0.0125,0.05
data/raw/train/images/00001_jpg.rf.17407de56e41af38bf7ed2948877f94b.jpg,TEAM 2,6,0.6703125,0.29765625,0.009375,0.03671875
data/raw/train/images/00001_jpg.rf.17407de56e41af38bf7ed2948877f94b.jpg,TEAM 2,6,0.609375,0.321875,0.0109375,0.04140625
data/raw/train/images/00001_jpg.rf.17407de56e41af38bf7ed2948877f94b.jpg,TEAM 2,6,0.57890625,0.39140625,0.01015625,0.046875
data/raw/train/images/00001_jpg.rf.17407de56e41af38bf7ed2948877f94b.jpg,TEAM 2,6,0.5328125,0.2921875,0.0078125,0.0390625
data/raw/train/images/00001_jpg.rf.17407de56e41af38bf7ed2948877f94b.jpg,TEAM 2,6,0.7046875,0.4984375,0.01796875,0.0625
data/raw/train/images/00001_jpg.rf.17407de56e41af38bf7ed2948877f94b.jpg,TEAM 2,6,0.4625,0.3578125,0.01328125,0.04765625
data/raw/train/images/00001_jpg.rf.17407de56e41af38bf7ed2948877f94b.jpg,TEAM 2,6,0.4234375,0.40234375,0.01484375,0.05234375
data/raw/train/images/00001_jpg.rf.17407de56e41af38bf7ed2948877f94b.jpg,TEAM 2,6,0.45546875,0.3234375,0.0109375,0.04296875
data/raw/train/images/00001_jpg.rf.17407de56e41af38bf7ed2948877f94b.jpg,TEAM 1,5,0.7203125,0.50625,0.0203125,0.06875
data/raw/train/images/00001_jpg.rf.17407de56e41af38bf7ed2948877f94b.jpg,TEAM 1,5,0.7140625,0.3734375,0.0109375,0.05
data/raw/train/images/00001_jpg.rf.17407de56e41af38bf7ed2948877f94b.jpg,TEAM 1,5,0.62265625,0.3171875,0.00703125,0.040625
data/raw/train/images/00001_jpg.rf.17407de56e41af38bf7ed2948877f94b.jpg,TEAM 1,5,0.5984375,0.27890625,0.0078125,0.03828125
data/raw/train/images/00001_jpg.rf.17407de56e41af38bf7ed2948877f94b.jpg,TEAM 1,5,0.61796875,0.6859375,0.03125,0.09140625
data/raw/train/images/00001_jpg.rf.17407de56e41af38bf7ed2948877f94b.jpg,TEAM 1,5,0.20390625,0.475,0.01484375,0.0625
data/raw/train/images/00001_jpg.rf.17407de56e41af38bf7ed2948877f94b.jpg,TEAM 1,5,0.246875,0.38125,0.00859375,0.053125
data/raw/train/images/00001_jpg.rf.17407de56e41af38bf7ed2948877f94b.jpg,TEAM 1,5,0.30234375,0.32890625,0.01171875,0.04609375
data/raw/train/images/00001_jpg.rf.17407de56e41af38bf7ed2948877f94b.jpg,TEAM 1,5,0.43984375,0.39140625,0.0125,0.05078125
data/raw/train/images/00001_jpg.rf.17407de56e41af38bf7ed2948877f94b.jpg,TEAM 1,5,0.39453125,0.29140625,0.0125,0.03125
data/raw/train/images/00001_jpg.rf.17407de56e41af38bf7ed2948877f94b.jpg,Ball,0,0.39453125,0.3046875,0.00390625,0.00546875
data/raw/train/images/00001_jpg.rf.17407de56e41af38bf7ed2948877f94b.jpg,Referee,4,0.5609375,0.35546875,0.0109375,0.046875
data/raw/train/images/00001_jpg.rf.17407de56e41af38bf7ed2948877f94b.jpg,Referee,4,0.32109375,0.2765625,0.00859375,0.03203125
data/raw/train/images/00001_jpg.rf.17407de56e41af38bf7ed2948877f94b.jpg,Corner,1,0.0328125,0.27734375,0.0140625,0.0359375
data/raw/train/images/00001_jpg.rf.20b4c0ea70042e2ac8bcaf42dab45f38.jpg,TEAM 2,6,0.76953125,0.41640625,0.0125,0.06015625
data/raw/train/images/00001_jpg.rf.20b4c0ea70042e2ac8bcaf42dab45f38.jpg,TEAM 2,6,0.75078125,0.36171875,0.0125,0.05
data/raw/train/images/00001_jpg.rf.20b4c0ea70042e2ac8bcaf42dab45f38.jpg,TEAM 2,6,0.6703125,0.29765625,0.009375,0.03671875
